Tray,Date,FlyID,Strain,Sex,Age,FilePath,Ignore,Notes,Ntrials,rBias,BatchID,uniquetrayID
1,10-Apr-2021,67,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,329,0.393292682926829,2,7
1,10-Apr-2021,68,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,119,0.508474576271186,2,7
1,10-Apr-2021,69,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,876,0.609142857142857,2,7
1,10-Apr-2021,70,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,243,0.570247933884298,2,7
1,10-Apr-2021,71,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,514,0.539961013645224,2,7
1,10-Apr-2021,72,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,84,0.385542168674699,2,7
1,10-Apr-2021,73,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,133,0.348484848484849,2,7
1,10-Apr-2021,74,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,150,0.590604026845638,2,7
1,10-Apr-2021,75,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,263,0.50381679389313,2,7
1,10-Apr-2021,76,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,190,0.518518518518518,2,7
1,10-Apr-2021,77,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,180,0.46927374301676,2,7
1,10-Apr-2021,78,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,130,0.581395348837209,2,7
1,10-Apr-2021,79,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,977,0.506147540983607,2,7
1,10-Apr-2021,80,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,306,0.521311475409836,2,7
1,10-Apr-2021,81,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,946,0.761904761904762,2,7
1,10-Apr-2021,82,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,729,0.578296703296703,2,7
