BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
2,1,72,45,0,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,73,45,0,890,0.438695163104612,444,0.503386004514673,422,0.543942992874109,851,0.603529411764706,603,0.553156146179402,675,0.497032640949555,483,0.553941908713693,685,0.5,644,0.556765163297045
2,1,74,45,0,637,0.547169811320755,778,0.606177606177606,600,0.580968280467446,708,0.693069306930693,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,75,45,0,803,0.44139650872818,709,0.656779661016949,633,0.572784810126582,673,0.578869047619048,691,0.563768115942029,813,0.54679802955665,746,0.473825503355705,700,0.682403433476395,533,0.406015037593985
2,1,76,45,0,977,0.543032786885246,973,0.594650205761317,802,0.474406991260924,594,0.600337268128162,812,0.367447595561036,850,0.448763250883392,562,0.547237076648841,660,0.546282245827011,552,0.3502722323049
2,1,77,45,0,875,0.287185354691076,883,0.515873015873016,532,0.525423728813559,866,0.691329479768786,589,0.812925170068027,742,0.49527665317139,487,0.395061728395062,537,0.326492537313433,456,0.61978021978022
2,1,78,45,0,748,0.443105756358768,778,0.384813384813385,760,0.30961791831357,-1,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN
2,1,79,45,0,1087,0.507366482504604,741,0.695945945945946,535,0.48689138576779,657,0.486280487804878,505,0.490079365079365,756,0.329801324503311,554,0.403254972875226,541,0.394444444444444,425,0.344339622641509
2,1,80,45,0,622,0.494363929146538,402,0.561097256857855,484,0.58592132505176,588,0.55366269165247,404,0.622828784119107,587,0.726962457337884,378,0.708222811671088,336,0.617910447761194,-1,NaN
2,1,81,45,0,227,0.460176991150442,411,0.409756097560976,597,0.427852348993289,833,0.693509615384615,752,0.697736351531292,844,0.623962040332147,730,0.371742112482853,770,0.494148244473342,558,0.612208258527828
