,Batch #,Fly ID,Date,Day,Drug Treatment,nTurns,rBias
441,1,58,5/12,9,TrH,267,0.6127819549
442,1,59,5/12,9,TrH,-1,
443,1,60,5/12,9,TrH,143,0.6056338028
444,1,61,5/12,9,TrH,468,0.52248394
445,1,62,5/12,9,TrH,70,0.4202898551
446,1,63,5/12,9,TrH,255,0.5590551181
447,1,64,5/12,9,TrH,319,0.4056603774
448,1,65,5/12,9,TrH,60,0.406779661
449,1,66,5/12,9,TrH,6,0.6
450,1,67,5/12,9,TrH,307,0.4803921569
451,1,68,5/12,9,TrH,537,0.4906716418
452,1,69,5/12,9,TrH,0,
453,1,70,5/12,9,TrH,223,0.4414414414
454,1,71,5/12,9,TrH,491,0.5306122449
455,1,72,5/12,9,TrH,252,0.4701195219
456,1,73,5/12,9,TrH,-1,
457,1,74,5/12,9,TrH,145,0.4236111111
458,1,75,5/12,9,TrH,86,0.6117647059
459,1,76,5/12,9,TrH,395,0.3147208122
460,1,77,5/12,9,TrH,328,0.4862385321
461,1,78,5/12,9,TrH,0,
462,1,79,5/12,9,TrH,699,0.29226361030000003
463,1,80,5/12,9,TrH,200,0.4572864322
464,1,81,5/12,9,TrH,-1,
465,1,82,5/12,9,TrH,-1,
466,1,83,5/12,9,TrH,-1,
467,1,84,5/12,9,TrH,110,0.33944954130000005
468,1,85,5/12,9,TrH,196,0.5076923077000001
469,1,86,5/12,9,TrH,-1,
470,1,87,5/12,9,TrH,386,0.5766233766
471,1,88,5/12,9,TrH,52,0.3333333333
472,1,89,5/12,9,TrH,-1,
473,1,90,5/12,9,TrH,258,0.3190661479
474,1,91,5/12,9,TrH,-1,
475,1,92,5/12,9,TrH,-1,
476,1,93,5/12,9,TrH,-1,
477,1,94,5/12,9,TrH,135,0.4925373134
478,1,95,5/12,9,TrH,-1,
479,1,96,5/12,9,TrH,-1,
480,1,1,5/13,10,TrH,34,0.5151515152
481,1,2,5/13,10,TrH,21,0.4
482,1,3,5/13,10,TrH,155,0.3961038961
483,1,4,5/13,10,TrH,467,0.5751072961
